# geodist_l1 — capital-to-capital great-circle distance (haversine, km).
# sources: mledoze/countries@c8015eebdd94c533358406b0d709f441389e1f2e (countries.json: cca3, capital, latlng); lutangar/cities.json@e66576247c5d26b1fc65d96a499acff3c3fef827 (cities.json, GeoNames-derived, CC BY 4.0: capital coordinates).
# basis: capital = both endpoints matched a capital city; centroid = at least one endpoint fell back to the country centroid.
# built by tools/build_geodist.py; threshold for «قريبة جغرافياً» lives in the template rules, not here.
iso3_a,iso3_b,distcap_km,basis
ABW,AFG,13240.1,capital
ABW,AGO,9498.1,capital
ABW,AIA,979.0,capital
ABW,ALA,8800.7,capital
ABW,ALB,9079.4,capital
ABW,AND,7563.4,capital
ABW,ARE,12717.2,capital
ABW,ARG,5383.8,capital
ABW,ARM,11095.1,capital
ABW,ASM,11477.8,capital
ABW,ATA,11400.1,centroid
ABW,ATF,14544.4,capital
ABW,ATG,1017.4,centroid
ABW,AUS,15345.3,capital
ABW,AUT,8708.2,capital
ABW,AZE,11489.0,capital
ABW,BDI,11169.5,capital
ABW,BEL,7836.9,capital
ABW,BEN,7972.0,capital
ABW,BES,195.7,capital
ABW,BFA,7413.4,capital
ABW,BGD,15458.9,capital
ABW,BGR,9336.6,capital
ABW,BHR,12286.3,capital
ABW,BHS,1591.3,capital
ABW,BIH,8918.7,capital
ABW,BLM,974.3,capital
ABW,BLR,9374.5,capital
ABW,BLZ,2079.8,capital
ABW,BMU,2262.6,capital
ABW,BOL,3547.6,capital
ABW,BRA,3976.6,capital
ABW,BRB,1130.1,capital
ABW,BRN,18002.4,capital
ABW,BTN,15057.3,capital
ABW,BVT,10099.5,centroid
ABW,BWA,11174.9,capital
ABW,CAF,9749.0,capital
ABW,CAN,3696.1,capital
ABW,CCK,18586.2,capital
ABW,CHE,8046.4,capital
ABW,CHL,5113.3,capital
ABW,CHN,14147.3,capital
ABW,CIV,7110.5,capital
ABW,CMR,8997.6,capital
ABW,COD,9607.8,capital
ABW,COG,9602.9,capital
ABW,COK,10482.3,capital
ABW,COL,986.3,capital
ABW,COM,12781.8,capital
ABW,CPV,5022.8,capital
ABW,CRI,1653.9,capital
ABW,CUB,1759.3,capital
ABW,CUW,131.7,capital
ABW,CXR,19492.1,capital
ABW,CYM,1426.7,capital
ABW,CYP,10388.5,capital
ABW,CZE,8549.1,capital
ABW,DEU,8463.6,capital
ABW,DJI,12168.6,capital
ABW,DMA,982.1,capital
ABW,DNK,8397.4,capital
ABW,DOM,661.5,capital
ABW,DZA,7682.2,capital
ABW,ECU,1700.0,capital
ABW,EGY,10368.2,capital
ABW,ERI,11607.5,capital
ABW,ESH,6117.2,centroid
ABW,ESP,7111.7,capital
ABW,EST,9078.2,capital
ABW,ETH,11790.9,capital
ABW,FIN,9073.3,capital
ABW,FJI,12686.6,capital
ABW,FLK,7236.6,capital
ABW,FRA,7676.5,capital
ABW,FRO,7402.0,capital
ABW,FSM,14267.5,capital
ABW,GAB,8856.4,capital
ABW,GBR,7534.4,capital
ABW,GEO,11045.8,capital
ABW,GGY,7328.9,centroid
ABW,GHA,7688.5,capital
ABW,GIB,6925.5,capital
ABW,GIN,6148.2,capital
ABW,GLP,973.6,capital
ABW,GMB,5780.5,capital
ABW,GNB,5905.3,capital
ABW,GNQ,8703.5,capital
ABW,GRC,9477.7,capital
ABW,GRD,909.3,centroid
ABW,GRL,5917.2,capital
ABW,GTM,2225.9,capital
ABW,GUF,2118.0,capital
ABW,GUM,15214.0,capital
ABW,GUY,1447.8,capital
ABW,HKG,16119.3,centroid
ABW,HMD,14421.4,centroid
ABW,HND,1866.7,capital
ABW,HRV,8705.8,capital
ABW,HTI,713.6,capital
ABW,HUN,8915.3,capital
ABW,IDN,19234.2,capital
ABW,IMN,7298.9,capital
ABW,IND,14241.8,capital
ABW,IOT,15735.6,centroid
ABW,IRL,7165.0,capital
ABW,IRN,11862.9,capital
ABW,IRQ,11408.2,capital
ABW,ISL,6822.5,capital
ABW,ISR,10671.6,capital
ABW,ITA,8468.9,capital
ABW,JAM,947.0,capital
ABW,JEY,7358.4,capital
ABW,JOR,10729.9,capital
ABW,JPN,13810.3,capital
ABW,KAZ,12014.3,capital
ABW,KEN,11866.4,capital
ABW,KGZ,12880.3,capital
ABW,KHM,17279.3,capital
ABW,KIR,12890.9,centroid
ABW,KNA,946.9,capital
ABW,KOR,14169.2,capital
ABW,KWT,11902.6,capital
ABW,LAO,16529.5,capital
ABW,LBN,10620.2,capital
ABW,LBR,6522.1,capital
ABW,LBY,8629.6,capital
ABW,LCA,989.9,capital
ABW,LIE,8203.4,capital
ABW,LKA,16044.5,capital
ABW,LSO,11403.9,capital
ABW,LTU,9210.6,capital
ABW,LUX,7956.0,capital
ABW,LVA,9090.9,capital
ABW,MAC,16138.0,centroid
ABW,MAF,966.5,capital
ABW,MAR,6772.7,capital
ABW,MCO,8045.0,capital
ABW,MDA,9651.9,capital
ABW,MDG,13325.9,capital
ABW,MDV,15579.0,capital
ABW,MEX,3199.4,capital
ABW,MHL,12887.9,capital
ABW,MKD,9198.6,capital
ABW,MLI,6717.0,capital
ABW,MLT,8709.3,capital
ABW,MMR,15960.1,centroid
ABW,MNE,9014.4,capital
ABW,MNG,13288.4,capital
ABW,MNP,15013.0,capital
ABW,MOZ,11859.1,capital
ABW,MRT,5810.6,capital
ABW,MSR,960.5,capital
ABW,MTQ,994.9,capital
ABW,MUS,14373.8,capital
ABW,MWI,11805.9,capital
ABW,MYS,18047.3,capital
ABW,MYT,13011.0,capital
ABW,NAM,10248.1,capital
ABW,NCL,13958.1,capital
ABW,NER,7784.9,capital
ABW,NFK,13776.0,capital
ABW,NGA,8447.5,capital
ABW,NIC,1762.6,capital
ABW,NIU,11481.6,capital
ABW,NLD,7886.3,capital
ABW,NOR,8291.5,capital
ABW,NPL,14812.8,capital
ABW,NRU,13599.7,capital
ABW,NZL,13019.7,capital
