HS6,HS6_name,k,k_name_short,k_name,Sub_sector_name,Sector_name,Excluded_from,Reason
010110,Pure-bred breeding horses and asses,0101,Live equine animals,"Live horses, asses, mules and hinnies",Live animals (except poultry),Animals & animal products,,
010121,Pure-bred breeding horses,0101,Live equine animals,"Live horses, asses, mules and hinnies",Live animals (except poultry),Animals & animal products,,
010129,Live horses (excl. pure-bred for breeding),0101,Live equine animals,"Live horses, asses, mules and hinnies",Live animals (except poultry),Animals & animal products,,
010130,Live asses,0101,Live equine animals,"Live horses, asses, mules and hinnies",Live animals (except poultry),Animals & animal products,,
010190,Live mules and hinnies,0101,Live equine animals,"Live horses, asses, mules and hinnies",Live animals (except poultry),Animals & animal products,,
010210,Pure-bred breeding bovines,0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010221,Pure-bred cattle for breeding,0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010229,Live cattle (excl. pure-bred for breeding),0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010231,Pure-bred buffalo for breeding,0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010239,Live buffalo (excl. pure-bred for breeding),0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010290,Live bovine animals (excl. cattle and buffalo),0102,Live bovine animals,Live bovine animals,Live animals (except poultry),Animals & animal products,,
010310,Pure-bred breeding swine,010310,Pure-bred breeding swine,Pure-bred breeding swine,Live animals (except poultry),Animals & animal products,,
010391,"Live swine, weighing < 50 kg (excl. pure-bred for breeding)",010391,"Live swine, <50kg, excl pure-bred breeding","Live swine, weighing < 50 kg (excl. pure-bred for breeding)",Live animals (except poultry),Animals & animal products,,
010392,"Live swine, weighing >= 50 kg (excl. pure-bred for breeding)",010392,"Live swine, >=50kg, excl pure-bred breeding","Live swine, weighing >= 50 kg (excl. pure-bred for breeding)",Live animals (except poultry),Animals & animal products,,
010410,Live sheep,010410,Live sheep,Live sheep,Live animals (except poultry),Animals & animal products,,
010420,Live goats,010420,Live goats,Live goats,Live animals (except poultry),Animals & animal products,,
010511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",010511,"Live chickens, <=185g","Live fowls of the species Gallus domesticus, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010512,"Live domestic turkeys, weighing <= 185 g",010512,"Live turkeys, <=185g","Live domestic turkeys, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010513,"Live domestic ducks, weighing <= 185 g",0105XX,"Live fowls, <=185g, excl chickens & turkeys","Live ducks, geese and guinea fowls, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010514,"Live domestic geese, weighing <= 185 g",0105XX,"Live fowls, <=185g, excl chickens & turkeys","Live ducks, geese and guinea fowls, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010515,"Live domestic guinea fowls, weighing <= 185 g",0105XX,"Live fowls, <=185g, excl chickens & turkeys","Live ducks, geese and guinea fowls, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010519,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g",0105XX,"Live fowls, <=185g, excl chickens & turkeys","Live ducks, geese and guinea fowls, weighing <= 185 g",Live animals (poultry),Animals & animal products,,
010594,"Live fowls of the species Gallus domesticus, weighing > 185",010594,"Live chickens, >185g","Live fowls of the species Gallus domesticus, weighing > 185 g",Live animals (poultry),Animals & animal products,,
010599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",010599,"Live fowls, >185g, excl chickens","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",Live animals (poultry),Animals & animal products,,
010611,Live primates,010611,Live primates,Live primates,Live animals (except poultry),Animals & animal products,,
010612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0106Xa,"Live mammals, n.e.s.","Live mammals (excl. primates, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",Live animals (except poultry),Animals & animal products,,
010613,Live camels and other camelids [Camelidae],0106Xa,"Live mammals, n.e.s.","Live mammals (excl. primates, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",Live animals (except poultry),Animals & animal products,,
010614,Live rabbits and hares,0106Xa,"Live mammals, n.e.s.","Live mammals (excl. primates, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",Live animals (except poultry),Animals & animal products,,
010619,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",0106Xa,"Live mammals, n.e.s.","Live mammals (excl. primates, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",Live animals (except poultry),Animals & animal products,,
010620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards",010620,Live reptiles,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards",Live animals (except poultry),Animals & animal products,,
010631,Live birds of prey,010631,Live birds of prey,Live birds of prey,Live animals (except poultry),Animals & animal products,,
010632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos",010632,Live psittaciformes,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos",Live animals (except poultry),Animals & animal products,,
010633,"Live ostriches, and emus [Dromaius novaehollandiae]",0106Xb,Live birds,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws and cockatoos)",Live animals (except poultry),Animals & animal products,,
010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",0106Xb,Live birds,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws and cockatoos)",Live animals (except poultry),Animals & animal products,,
010641,Live bees,0106Xc,Live animals,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",Live animals (except poultry),Animals & animal products,,
010649,Live insects (excl. bees),0106Xc,Live animals,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",Live animals (except poultry),Animals & animal products,,
010690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",0106Xc,Live animals,"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",Live animals (except poultry),Animals & animal products,,
020110,"Carcases or half-carcases of bovine animals, fresh or chilled",020110,"Bovine carcases, fresh","Carcases or half-carcases of bovine animals, fresh or chilled",Meat (except poultry),Animals & animal products,,
020120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",020120,"Bovine cuts bone in, fresh","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",Meat (except poultry),Animals & animal products,,
020130,"Fresh or chilled bovine meat, boneless",020130,"Bovine cuts boneless, fresh","Fresh or chilled bovine meat, boneless",Meat (except poultry),Animals & animal products,,
020210,Frozen bovine carcases and half-carcases,020210,"Bovine carcases, frozen",Frozen bovine carcases and half-carcases,Meat (except poultry),Animals & animal products,,
020220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",020220,"Bovine cuts bone in, frozen, n.e.s.","Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",Meat (except poultry),Animals & animal products,,
020230,"Frozen, boneless meat of bovine animals",020230,"Bovine cuts boneless, frozen","Frozen, boneless meat of bovine animals",Meat (except poultry),Animals & animal products,,
020311,Fresh or chilled carcases and half-carcases of swine,020311,"Swine carcases, fresh",Fresh or chilled carcases and half-carcases of swine,Meat (except poultry),Animals & animal products,,
020312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",020312,"Swine hams & shoulders, fresh","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",Meat (except poultry),Animals & animal products,,
